Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,6.440000,6.540000,6.420000,6.490000,6.079206,20838300
2017-06-02,6.580000,6.600000,6.530000,6.550000,6.135408,14477100
2017-06-05,6.460000,6.540000,6.450000,6.540000,6.126041,13736500
2017-06-06,6.430000,6.520000,6.420000,6.460000,6.051105,15317800
2017-06-07,6.580000,6.590000,6.490000,6.540000,6.126041,17058000
2017-06-08,6.530000,6.540000,6.470000,6.520000,6.107307,13078000
2017-06-09,6.500000,6.520000,6.280000,6.400000,5.994903,21430800
2017-06-12,6.350000,6.390000,6.270000,6.350000,5.948067,20020500
2017-06-13,6.440000,6.460000,6.380000,6.420000,6.013637,12232000
2017-06-14,6.480000,6.480000,6.330000,6.380000,5.976169,17573800
2017-06-15,6.280000,6.360000,6.270000,6.330000,5.929333,14324600
2017-06-16,6.340000,6.410000,6.320000,6.400000,5.994903,11104800
2017-06-19,6.420000,6.470000,6.420000,6.460000,6.051105,11765400
2017-06-20,6.460000,6.470000,6.370000,6.370000,5.966801,14037800
2017-06-21,6.340000,6.390000,6.330000,6.390000,5.985536,13080700
2017-06-22,6.390000,6.420000,6.360000,6.380000,5.976169,11325700
2017-06-23,6.340000,6.410000,6.330000,6.390000,5.985536,10136400
2017-06-26,6.430000,6.460000,6.340000,6.340000,5.938700,14180700
2017-06-27,6.290000,6.320000,6.260000,6.280000,5.882498,11388500
2017-06-28,6.320000,6.360000,6.280000,6.360000,5.957435,16737800
2017-06-29,6.280000,6.290000,6.100000,6.170000,5.779461,21632100
2017-06-30,6.170000,6.180000,6.090000,6.160000,5.770093,13375500
2017-07-03,6.180000,6.210000,6.150000,6.150000,5.760726,6618100
2017-07-05,6.230000,6.240000,6.180000,6.220000,5.826295,14404700
2017-07-06,6.120000,6.180000,6.110000,6.140000,5.751359,14174100
2017-07-07,6.170000,6.260000,6.160000,6.250000,5.854397,11906700
2017-07-10,6.190000,6.280000,6.190000,6.260000,5.863764,10418900
2017-07-11,6.200000,6.250000,6.160000,6.240000,5.845029,11783500
2017-07-12,6.280000,6.380000,6.270000,6.340000,5.938700,11561500
2017-07-13,6.300000,6.330000,6.270000,6.330000,5.929333,10371200
2017-07-14,6.270000,6.330000,6.260000,6.330000,5.929333,7725700
